responses,quality
I you know you don't have to sign up if you don't want to but you know I'm kind of here to like fix things for you and just make sure everything goes no real smoothly with the different issues that you've been having and just kind of oh you know kind of manage things and just take care of stuff so you know it's again if you want the service you can have it but it's kind of up to you but I am here if you want me to be and you know I'll couldn't kind of teach you about things you might not know about or tell you some things about your house and you know just Marlys make sure everything goes okay so you know you think that might be something you'd be interested in wanting to be a part of because I'd you know really like to help you,0
because it seems like I you know you've expressed some health issues lately and I know you've had a lot of problems with your weight so that's certainly something we can talk about and I know a lot about you know weight loss and have helped a lot of people with you know managing their weight and figuring out what they need to do so you know what are your main problems about your weight I mean why is it a problem for you,0
so why do you eat too much I mean how is that a problem,0
so you like it you just like eating food so you just kind of eat more than you know you should be eating,0
yeah yeah,0
you could tell me about it I mean about what you should be eating for yeah meat size and like you know baseball size for fruit so it's not that you don't know about it you you you do know about poor lighting control,0
so if you know how much you should be eating and then how is it a means you know how much you should be eating then how do you stop,0
well that's great I could do about this yeah because you know there's there's just so many different things when it comes to like weight loss you know and really being able to have some self-control I mean that's a really really important factor this is really being able to have some self-control and you know I found a lot of people just really need to increase their fruits and their vegetables and just not eat any processed foods and you know not eat any anything that might be kind of junk but then you know not not cheat either I mean you want to be able let yourself have some ice cream or some things that you might really like from time to time because you know you don't want to completely not let yourself have good stuff either so,0
oh I see well you know obviously you want to make sure you're not eating you know junk food all day long but on the other hand you want to make sure that you give yourself some opportunities to have that bite of brownie or cake or you know I for myself personally I really love like lemon meringue pie so I always have to you know save that little piece for myself in the fridge to make sure I have my little bite of lemon meringue pie and then I can feel good about you know where I where I was eating good the rest of the day then I could still have my lemon meringue pie so something like that might kind of work better you know for you to really take a look at your portion sizes and then you know making sure you get out there and exercising me if you're not exercising that's certainly not going to help you with being able to get off the weight either so that's that's critical how are you doing on weight loss as far as exercising,0
oh so see that's really key right that's a really key portion to it so it sounds like when we talk next time if you kind of kind of give me an idea maybe keep a journal for a week and tell me what you've been eating and we can really look at you know what good things that I can tell you what things you shouldn't be eating out of that plan and then I really think it'd be important if you just start maybe even just start walking three times a week if you could just start that really slowly and then you Muenster now we can kind of see if that's helped some and we can talk about the items you've had on your journal and we can go from there and all kind of direct you from there what you shouldn't be eating how does that sound,0
sure whatever whatever is comfortable for you so you know start out small so that you can feel really good about having some success and doing some exercise so you know if you feel tired at ten fifteen minutes really just kind of paste it along for yourself and feel what's right so that you can feel like you're getting out there and getting moving because it's all about taking a small step and you know at least getting active,0
and then I think the flute journal would be really important because then we'll really have a better idea what you what you truly are eating and how many calories and then we can go from there and deciding you know how many calories you really should be eating in your diet and that way you can do a better job of monitoring it,0
so how about we meet back and say three to four weeks and we can kind of see how that journal is going so,0
yeah if you have any problems along the way before then feel free to give me a call I'm always available so if there is something that you find that's just not working just give me a call we can kind of discuss it but then we can meet in person because we really should probably have about a month of your journal you know kind of down but if there's something that comes up I mean by all means just give me a call there's my extension so you'll call me if you you know,0
yeah well I I would hope that with some you know with some exercise and with starting to be more aware by writing down what you eat you may find it as you have to write it down that you may find that you will avoid eating certain things because you don't want to you know as you write it down it may make you feel like well now I'm not so sure I should eat this like if you're gonna eat a whole container of ice cream you know you might not want to have to write that down so you may just limit yourself to a scoop or two of ice cream so there is some kind of pieces that help with having to write things down and I think we're just gonna take it step by step but again there's my phone and my extension so I'm here if you need me,0
so let's just continue on our conversation that's so Tonya I'm really glad you were able to kind of come in and just talk with me for a couple minutes as I explained kind of briefly on the phone as part of your insurance benefit I'm available for you as your own personal coach you know I am a nurse but I have a lot of background in wellness so I've been really here to help guide people and kind of as a case manager I'm able to help you there help empower you don't kind of work towards your goals of what you're trying to work on with your health and I know you would express on the phone a little bit but I would love it if you tell me some more about you know what is one of maybe the main things you've been thinking about in relation to your health right now,0
so the structure is really important to you in your life in order to manage your house,0
so it almost sounds like a house of cards if one kind of shifts away from from that,0
they just kind of all fall down very quickly and then you start to not feel good about yourself or you don't start to feel good in general physically,0
oh okay so because you start feeling poorly or you started feeling badly then you just kind of say well whatever or,0
for you it feels like this whole kind of circle of things almost the quickl you're not doing what you need to be doing then you start to feel a weight difference in your weight,0
so it just kind of builds on itself,0
so what do you see is the key goal that you're trying to focus on right now or maybe a group of goals what are what are your key things that you are wanting to have happen,0
Oh social physical activity,0
that you get to be out and be with people like,0
ust doing on your own right like even going to a gym and just being around other people working out we're going to some kind of exercise class just to be around other people who they're their general goal is to you know do physical tivity and feel better through it,0
yeah,0
yeah,0
yeah,0
yeah right now I realized that it would be this is just something I came to realization today so it would be about I think it's an eight,0
yeah it's really really up there,0
it's not a four or five right why would you say an eight not a four or five,0
oh okay it's about sharing there's that yeah really that piece of connectedness that's really important for you,0
so if we were to ask your second question and that's kind of where the rubber meets the road how confident are you that you could start finding a group activity let's say in the next two weeks,0
you could start one obviously you've got steps to find it,0
involved but within two weeks you could find yourself in some type of a group activity,0
so you would get that in ages yeah so it's something that's pretty important to you,0
definitely more than a six or seven and also you're really confident that you can go out there and do that,0
what do you see as some of the barriers that might get in your way,0
structuring your day better,0
so finding the time in your day,0
able to do or not do this or not,0
and how do you see that best in your day how do you see that working in like an evening kind of thing or,0
okay,0
so one of the things I hear people frequently will be saying is that the evenings my time to unwind and then I don't have the energy or I don't feel like going out to do something that might be more rigorous how is that for you,0
you can always have a cup of coffee,0
well it would be okay with you I would to touch base maybe after that class starts and just kind of see what you found how it's working and then we can go from there looking at any kind of barriers the one thing I think I would just encourage you with to normalize is to realize about doing things in small doable steps and not feeling like if you haven't done everything for the day that you're,0
the day but but that anymore water you drink or vegetables you've added it's certainly a positive and looking at trend,0
then to be hard on yourself right towards your you know movement toward wellness,0
okay so if we could touch base maybe in three weeks,0
that would be super I'd really look forward to it I'm really glad you came in,0
hi I'm Hannah I talked with you I knew the other day but I just wanted to touch base today you know about your softer situation I'm so I read your chart and I know tell that side are you still feeling depressed,0
a depressions and I know you feel like depressed now but I felt depressed before and it will pass like you'll get over it it's it's not that big a deal and so this depression why are you feeling depressed,0
oh wait wait sorry I did another note something else I wanted to ask you before no why or is that depression what brought you in here,0
oh yeah,0
yeah um okay so that overdose love to talk about um so then why are you feeling depressed,0
I looked in your chart and your life doesn't seem all that bad so this depression I think you can get over it um yeah let me like my notes here no song oh hey yeah can I talk to you later I'm gonna finish on there okay um sorry I lost my train of thought my my notes here you got booze overdose um so can you talk about these thoughts oh that like that area do you want to do um very still having those thoughts,0
no okay then great no that's because I know I mean if you're having them it's kind of like why I don't understand what people think of like it so it's really very weak them to do personally but any who is oh hold on a second hello no I'm at work right now yeah you know at Belmont yeah I want to talk with this patient here yeah I'll call you back okay okay all right yeah anyhoo so let me look at my notes but so you those thoughts were saying who are you saying about those did you have that I forget,0
no okay okay that's great I'm glad so are you feeling better than,0
so what do you think has worked in your therapy,0
one-on-one okay what do you want me to see if your doctors available I can totally arrange that,0
I'm going to go check that then right,0
hi I'm Jacob ,0
I see been referred to me what brings you in today?,0
do you understand all that?,0
well you clearly have a lot of weight to lose cuz that feeling your main goal to lose weight,0
have you tried any weight loss programs in the past?,0
what kind of programs?,0
Did you like those programs? ,0
what kind of activities do you like doing?,0
What kind of dog do you have?,0
yeah say like walking your dog ,0
how long do you walk?,0
all right well we'll have you do fire blocks done a couple of last couple blocks might hurt like something you have to push through and we'll have you do that six seven days a week don't you'll really get on and we'll see how that goes,0
hello Peter right Peter ,0
okay I mean it's too bad to hear but you know what brings you in today?,0
okay sounds like you're concerned by your weight and you want to start to make positive changes so that's good to hear ,0
hmm well I mean how confident would you say that you are right?,0
okay well what have you tried doing to lose the weight?,0
